 , ,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
 ,0.0,0.002392,0.004926,0.014667,0.002944,0.007384,0.002763,0.002194,0.005333,0.007847,0.0,0.007692,0.003862,0.009336,0.017552,0.01036,0.017271,0.005085,0.01442,0.008174,0.004422,0.000603,0.001355,0.000424,0.004558,0.000746,4.2e-05,0.0,0.0,0.002264,6.8e-05,0.003659
а,0.019187,0.000226,0.000806,0.002824,0.000831,0.002299,0.000914,0.001185,0.002884,0.000155,0.000527,0.004234,0.00784,0.003167,0.003759,3e-05,0.00084,0.002956,0.00514,0.004843,6.2e-05,5.7e-05,0.000903,9.5e-05,0.000815,0.000728,0.000293,0.0,0.0,0.0,0.001164,0.001807
б,0.000291,0.000509,2e-06,2.7e-05,3e-06,1.5e-05,0.001508,2.8e-05,1e-05,0.000522,0.0,7.6e-05,0.000725,4.3e-05,0.000337,0.002695,0.0,0.001022,0.000156,3e-06,0.001042,0.0,6.6e-05,7e-06,3e-06,2e-06,0.000291,0.00252,0.000115,0.0,0.0,0.000515
в,0.005481,0.005476,2e-06,3e-05,1.2e-05,0.000214,0.00447,0.0,0.000535,0.002525,0.0,0.000259,0.000866,0.000153,0.001094,0.005755,0.000128,0.00074,0.002603,0.000195,0.000854,0.0,5e-05,3e-05,6.6e-05,0.000484,3e-06,0.00264,0.00019,0.0,0.0,0.000233
г,0.0005,0.00121,0.0,2e-06,0.0,0.000756,0.000502,0.0,0.0,0.000808,0.0,0.000211,0.001471,1.7e-05,0.000249,0.006485,0.0,0.000751,7e-06,2.3e-05,0.000627,0.0,2.7e-05,0.0,5.5e-05,3e-06,0.0,0.0,0.0,0.0,0.0,0.0
д,0.001185,0.004224,2.2e-05,0.000791,1.7e-05,6.8e-05,0.004846,3.2e-05,1e-05,0.002161,0.0,0.000253,0.000918,5.3e-05,0.001872,0.003704,8.1e-05,0.00147,0.000246,0.000254,0.001471,0.0,6.8e-05,0.000133,1.7e-05,4.7e-05,0.0,0.000682,0.000377,0.0,7e-06,0.000386
е,0.020173,5.8e-05,0.001716,0.001548,0.002583,0.002537,0.001135,0.000595,0.001032,8.6e-05,0.002367,0.001002,0.004776,0.004261,0.007328,0.000246,0.000871,0.005764,0.004382,0.00454,0.00011,0.000126,0.000437,0.000216,0.000863,0.00115,0.000813,0.0,0.0,0.0,0.000103,0.000221
ж,0.000226,0.001024,8e-06,0.0,8e-06,0.00078,0.00378,1e-05,0.0,0.001719,0.0,7.6e-05,2.3e-05,1e-05,0.001282,2.3e-05,0.0,0.0,7e-06,0.0,0.000208,0.0,0.0,0.0,0.000369,0.0,0.0,0.0,2e-05,0.0,0.0,0.0
з,0.001277,0.004929,0.000118,0.000751,0.000404,0.000889,0.000446,9e-05,3e-06,0.000446,0.0,0.000218,0.000183,0.000394,0.001317,0.000522,0.0,0.000336,0.0,2e-05,0.000351,0.0,0.0,3e-06,7e-06,2e-06,0.0,0.000364,0.000121,0.0,0.0,0.000274
и,0.014892,0.000231,0.000449,0.002603,0.000444,0.001337,0.001952,0.000248,0.001775,0.000492,0.000735,0.002193,0.005119,0.002412,0.003169,0.000371,0.000125,0.002101,0.003011,0.004239,2e-06,7e-05,0.001386,0.000485,0.000951,0.000806,0.000131,0.0,0.0,0.000637,0.000243,0.001175
й,0.006262,0.0,0.0,0.0,0.0,0.000191,1.2e-05,0.0,2e-06,1.5e-05,0.0,3.2e-05,1e-05,4.5e-05,0.001219,8e-06,0.0,0.000261,0.000271,0.000296,0.0,7e-06,1e-05,1.2e-05,0.000346,7e-05,0.0,0.0,0.0,0.0,7e-06,5e-06
к,0.004671,0.006409,0.0,7.1e-05,5e-06,0.0,0.000805,5e-05,5e-06,0.002384,0.0,5e-06,0.000462,0.0,0.000341,0.006987,0.0,0.00209,7.6e-05,0.000697,0.001749,3.7e-05,7.5e-05,3e-05,0.0,1.3e-05,0.0,0.0,0.0,0.0,0.0,0.0
л,0.00393,0.009195,2e-05,7.3e-05,0.000166,2.7e-05,0.004118,0.000276,1e-05,0.00791,0.0,0.000327,9.6e-05,2e-06,0.000331,0.005459,4.7e-05,2.5e-05,0.001154,3.2e-05,0.001202,6.6e-05,5.5e-05,0.0,0.0001,0.0,1e-05,0.000574,0.004289,0.0,0.000811,0.001486
м,0.006804,0.003019,1.3e-05,0.0,4e-05,0.0,0.004224,0.0,0.0,0.002432,0.0,0.000153,0.000316,5e-05,0.002861,0.004465,0.000161,3e-05,0.00013,1.7e-05,0.002021,1.7e-05,0.0,1e-05,4.8e-05,0.0,0.0,0.001137,0.00015,0.0,0.0,0.000642
н,0.003157,0.010214,0.0,2e-06,6.6e-05,0.000105,0.011185,5e-06,5e-06,0.007263,0.0,0.000253,5e-06,2.5e-05,0.002183,0.010604,0.0,0.000108,0.000196,0.000575,0.003205,2e-05,0.000193,0.000161,0.000198,0.0,0.000201,0.002971,0.001381,0.0,0.000126,0.002427
о,0.021879,1.2e-05,0.003513,0.005931,0.004646,0.004969,0.001837,0.002294,0.001086,0.001071,0.003415,0.002294,0.005998,0.005087,0.004575,0.000186,0.00133,0.004839,0.006011,0.00665,6.3e-05,7e-05,0.000593,9.6e-05,0.002144,0.000958,0.000334,0.0,0.0,4.8e-05,0.000209,0.000718
п,2.8e-05,0.001519,0.0,0.0,0.0,0.0,0.001897,0.0,0.0,0.000816,0.0,0.0001,0.00084,0.0,0.000176,0.009846,3.7e-05,0.007236,3e-06,7.8e-05,0.000602,0.0,0.0,2e-06,1.3e-05,3e-06,0.0,0.000311,3e-05,0.0,3e-06,0.000171
р,0.000801,0.008867,3.2e-05,0.000432,0.000233,0.000602,0.0064,0.000321,7.3e-05,0.005065,0.0,0.001016,0.000195,0.000153,0.000835,0.007825,6.2e-05,3.3e-05,0.000191,0.000459,0.002213,2e-06,0.000475,4.2e-05,5.3e-05,0.000153,1.2e-05,0.00128,0.000451,2.7e-05,9.1e-05,0.001165
с,0.003439,0.00143,5.5e-05,0.001179,4.3e-05,0.000221,0.003784,2.5e-05,3e-06,0.001406,0.0,0.002324,0.002517,0.001021,0.00117,0.002424,0.001754,0.000238,0.00055,0.010563,0.00054,5e-06,0.000191,2.3e-05,0.000273,4e-05,0.0,0.000344,0.004259,0.0,0.000156,0.003961
т,0.005035,0.005333,2.7e-05,0.001888,0.000105,0.000145,0.004791,0.0,2e-06,0.003697,0.0,0.000741,0.000367,4.3e-05,0.00136,0.011966,0.000161,0.003248,0.00114,7.8e-05,0.001222,0.0,2.7e-05,4.2e-05,6.5e-05,2e-05,1.5e-05,0.001548,0.007118,0.0,2.2e-05,0.000544
у,0.006314,6.8e-05,0.000359,0.000738,0.000844,0.001684,0.000178,0.001997,0.00018,3.2e-05,0.00011,0.000758,0.001644,0.000954,0.000141,0.0,0.000657,0.000587,0.001209,0.001548,1.3e-05,1e-05,0.000352,2e-06,0.000999,0.000775,0.000248,0.0,0.0,0.0,0.000793,6.8e-05
ф,0.000214,0.000284,0.0,0.0,0.0,0.0,0.000416,0.0,0.0,5.8e-05,0.0,1e-05,8.5e-05,0.0,0.0,0.000116,0.0,8.5e-05,2e-06,3e-06,1e-05,7e-06,0.0,0.0,0.0,0.0,0.0,3.7e-05,0.0,0.0,0.0,2e-06
х,0.003149,0.00066,0.0,0.000204,0.0,0.0,6.2e-05,0.0,0.0,0.000223,0.0,0.0,0.000128,6.6e-05,0.000258,0.002221,0.0,0.000131,3.3e-05,2.5e-05,0.00012,0.0,2e-06,0.0,0.0,1.2e-05,0.0,0.0,0.0,0.0,0.0,0.0
ц,0.000195,0.000399,0.0,0.000151,0.0,0.0,0.00059,0.0,0.0,0.000279,0.0,0.0,0.0,0.0,0.0,9.5e-05,0.0,0.0,0.0,0.0,9.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00011,0.0,0.0,0.0,0.0
ч,1.7e-05,0.001767,0.0,0.0,0.0,0.0,0.003489,0.0,0.0,0.002016,0.0,0.000324,8e-06,3e-06,0.000869,4.5e-05,0.0,8e-06,0.0,0.002987,0.000593,0.0,0.0,0.0,0.0,0.00014,0.0,0.0,0.000281,0.0,0.0,0.0
ш,0.000116,0.000761,0.0,5e-06,0.0,0.0,0.001862,0.0,0.0,0.001463,0.0,0.000924,0.00075,1.5e-05,0.000249,0.000419,3e-06,3e-06,0.0,3.2e-05,0.000344,0.0,0.0,0.0,0.0,7e-06,0.0,0.0,0.000723,0.0,0.0,0.0
щ,8e-06,0.000354,0.0,0.0,0.0,0.0,0.001586,0.0,0.0,0.000803,0.0,0.0,0.0,0.0,7.8e-05,0.0,0.0,0.0,0.0,0.0,0.000116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6e-05,0.0,0.0,0.0
ы,0.004728,0.0,0.000213,0.000851,0.00013,0.000108,0.001031,3.8e-05,6.6e-05,0.0,0.001252,0.000233,0.001493,0.000854,0.000133,0.0,0.000173,0.000234,0.000713,0.000622,5e-06,0.0,0.000886,0.0,0.000201,0.000492,1.7e-05,0.0,0.0,0.0,0.0,2.5e-05
ь,0.012644,0.0,5.7e-05,2e-06,1e-05,5e-06,0.000356,0.0,0.000148,4.7e-05,0.0,0.001119,0.0,0.000125,0.001283,5e-06,0.0,0.0,0.00148,4.3e-05,0.0,0.000221,0.0,6.6e-05,0.000238,0.001002,5e-06,0.0,0.0,0.0,0.000386,0.000331
э,0.0,0.0,0.0,5e-06,0.0,7e-06,0.0,0.0,0.0,0.0,0.000637,3.5e-05,8.5e-05,1.5e-05,8e-05,0.0,3e-06,1.2e-05,2.2e-05,0.002051,0.0,5e-06,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ю,0.002464,3e-06,0.000204,2e-06,5e-06,0.000422,3e-06,0.0,2.8e-05,0.0,0.0,1.2e-05,0.0,5e-06,5.7e-05,0.0,0.0,2.2e-05,0.000156,0.000434,0.0,2e-06,1.2e-05,0.0,7.3e-05,5e-06,0.000399,0.0,0.0,0.0,1e-05,0.0
я,0.013273,0.0,5e-06,0.000311,0.000158,0.000637,9.8e-05,0.000185,0.000276,4.3e-05,5.5e-05,7.1e-05,0.001009,0.000427,0.000675,0.0,1.5e-05,0.000146,0.000632,0.001267,0.0,0.0,0.000116,1.3e-05,7.6e-05,1e-05,0.000195,0.0,0.0,0.0,0.000121,9e-05
